descricao_produto,IA_PRODUTO,IA_LABORATORIO,IA_TIPO DA UNIDADE,IA_QUANTIDADE MG (POR UNIDADE/ML),IA_QUANTIDADE ML,IA_QUANTIDADE UI,IA_QUANTIDADE UNIDADES
HIDROCLORITIAZIDA 25 MG,HIDROCLORITIAZIDA,,UNIDADE,"25,00",,,
HIDROCLORITIAZIDA 25 MG NEOQUIMICA,HIDROCLORITIAZIDA,NEO QUIMICA,UNIDADE,"25,00",,,
HIDROCLORITIAZIDA 25 MG PHARLAB,HIDROCLORITIAZIDA,PHARLAB,UNIDADE,"25,00",,,
TEICOPLANINA 200 MG SI EV IMFAMP 3 ML UNIAO QUIMICA R,TEICOPLANINA,UNIAO QUIMICA,AMPOLA OU FRASCO-AMPOLA,"200,00",3,,
HIDROCLORITIAZIDA COM 30 25 MG,HIDROCLORITIAZIDA,,UNIDADE,"25,00",,,30
HIDROCLOROTAZIDA 25 MG LEGRA,HIDROCLOROTAZIDA,LEGRAND,UNIDADE,"25,00",,,
PARACETAMOL 200 MG / ML GTS 15 ML VP FARMA,PARACETAMOL,VP FARMA,GOTAS,"200,00",15,,
DOXINEW 200 MG COMPRIMIDOS WORLD PET,DOXINEW,WORLD PET,COMPRIMIDO/CAPSULA,"200,00",,,
"AMIODARONA 200 MG , COMPRIMIDO ZYDUS",AMIODARONA,ZYDUS,COMPRIMIDO/CAPSULA,"200,00",,,
AMIODARONA 200 MG COM 30 CPRS ZYDUS ZYDUS,AMIODARONA,ZYDUS,COMPRIMIDO/CAPSULA,"200,00",,,30
AMIODARONA 200 MG CX / 30 COMPRIMIDOS ZYDUS,AMIODARONA,ZYDUS,COMPRIMIDO/CAPSULA,"200,00",,,30
PARACETAMOL 200 MG FRS 15 ML ABIDOR,ABIDOR,,FRASCO,"200,00",15,,
ABIDOR PARACETAMOL 200 MG / ML L 19 L 0103,ABIDOR,,SOLUCAO,"200,00",,,
"ACETILCISTEINA , 200 MG , PO PARA SOLUCAO ORAL",ACETILCISTEINA,,PO,"200,00",,,
"ACETILCISTEINA 200 MG , PO PARA SOL ORAL ENV",ACETILCISTEINA,,ENVELOPE,"200,00",,,
ACETILCISTEINA 200 MG PO PARA SOL ORAL,ACETILCISTEINA,,PO,"200,00",,,
ACETILCISTEINA 200 MG 16 ENV GR,ACETILCISTEINA,,ENVELOPE,"200,00",,,16
ACETILCISTEINA 200 MG 16 ENV X,ACETILCISTEINA,,ENVELOPE,"200,00",,,16
ACICLOVIR 200 MG 25 COMPRIMIDOS,ACICLOVIR,,COMPRIMIDO/CAPSULA,"200,00",,,25
ACICLOVIR 200 MG C 25 COMPRIMIDOS GEN,ACICLOVIR,,COMPRIMIDO/CAPSULA,"200,00",,,25
ACICLOVIR 200 MG COM 25 COMPRIMIDOS GEN,ACICLOVIR,,COMPRIMIDO/CAPSULA,"200,00",,,25
ACICLOVIR 200 MG COM 25 CP,ACICLOVIR,,COMPRIMIDO/CAPSULA,"200,00",,,25
ACICLOVIR 200 MG COM 450 COMPRIMIDOS GENERICO,ACICLOVIR,,COMPRIMIDO/CAPSULA,"200,00",,,450
ACICLOVIR 200 MG COMPRIMIDO,ACICLOVIR,,COMPRIMIDO/CAPSULA,"200,00",,,
ACICLOVIR 200 MG COMPRIMIDOS,ACICLOVIR,,COMPRIMIDO/CAPSULA,"200,00",,,
ACICLOVIR 200 MG COMPRIMIDOS COM 450 G,ACICLOVIR,,COMPRIMIDO/CAPSULA,"200,00",,,450
ACICLOVIR 200 MG CX 200 COMPRIMIDOS,ACICLOVIR,,COMPRIMIDO/CAPSULA,"200,00",,,200
ACICLOVIR 200 MG CX 25 COMPRIMIDOS,ACICLOVIR,,COMPRIMIDO/CAPSULA,"200,00",,,25
ACICLOVIR 200 MG CX 30 COMPRIMIDOS,ACICLOVIR,,COMPRIMIDO/CAPSULA,"200,00",,,30
ACICLOVIR COMPRIMIDOS 200 MG CX COM 500 ULTRAMEGA DISTRIBUIDORA H,ACICLOVIR,,COMPRIMIDO/CAPSULA,"200,00",,,500
HIDROCLOROTAZIDA 25 MG MEDQU,HIDROCLOROTAZIDA,MEDQUIMICA,UNIDADE,"25,00",,,
"HIDROCLOROTIAZIDA + RAMIPRIL 12 , 5 + 5 MG LIBBS",HIDROCLOROTIAZIDA + RAMIPRIL,LIBBS,UNIDADE,"17,50",,,
"HIDROCLOROTIAZIDA 12 , 5 MG",HIDROCLOROTIAZIDA,,UNIDADE,"12,50",,,
"HIDROCLOROTIAZIDA 12 , 5 MG GENERICO",HIDROCLOROTIAZIDA,,UNIDADE,"12,50",,,
"HIDROCLOROTIAZIDA 2 , 5 + RAMIPRIL 5 MG COM 30",HIDROCLOROTIAZIDA + RAMIPRIL,,UNIDADE,"7,50",,,30
ACICLOVIR 200 MG C 500 COMPRIMIDOS HERVIRAX,ACICLOVIR HERVIRAX,,COMPRIMIDO/CAPSULA,"200,00",,,500
ACIDO ASCORBICO 200 MGML 20 ML,ACIDO ASCORBICO,,SOLUCAO,"200,00",20,,
ACIDO ASCORBICO 200 MG / ML GTS,ACIDO ASCORBICO,,GOTAS,"200,00",,,
ACIDO ASCORBICO 200 MG / ML INJ,ACIDO ASCORBICO,,INJETAVEL,"200,00",,,
ACIDO ASCORBICO 200 MG / ML,ACIDO ASCORBICO,,SOLUCAO,"200,00",,,
ACIDO ASCORBICO 200 MG / ML SOL ORAL,ACIDO ASCORBICO,,SOLUCAO,"200,00",,,
ACIVERAL ACICLOVIR 200 MG CX COM 25 COMPRIMIDOS,ACIVERAL,,COMPRIMIDO/CAPSULA,"200,00",,,25
AIRES 200 MG 16 GRAN 5 G,AIRES,,PO,"200,00",,,16
AIRES 200 MG ENV 1 X 16 ETICO,AIRES ETICO,,ENVELOPE,"200,00",,,16
ALBEL 200 MG / 5 ML SUS FR 10 ML,ALBEL,,FRASCO,"200,00",10,,1
ALBEL 200 MG FR SUS 10 ML,ALBEL,,FRASCO,"200,00",10,,1
ALBENDAZOL 200 MG SUSPENSAO,ALBENDAZOL,,FRASCO,"200,00",,,
ALBIOMIN ALBUMINA HUMANA 200 COM 50 ML DIVERSOS,ALBIOMIN,,SOLUCAO,"200,00",50,,
ALBUMINA 20 % 50 ML,ALBUMINA,,SOLUCAO,"200,00",50,,
ALBUMINA HUMANA 20 % F / A 50 ML CX 01,ALBUMINA HUMANA,,FRASCO,"200,00",50,,1
"ALBUMINA HUMANA 0 , 200 G / ML 20 % INJ 50 ML",ALBUMINA HUMANA,,INJETAVEL,"200,00",50,,
ALBUMINA HUMANA 20 % 50 ML,ALBUMINA HUMANA,,SOLUCAO,"200,00",50,,
ALBUMINA HUMANA 20 % COM 50 ML,ALBUMINA HUMANA,,SOLUCAO,"200,00",50,,
ALBUMINA HUMANA 20 C 50 ML,ALBUMINA HUMANA,,SOLUCAO,"200,00",50,,
ALBUMINA HUMANA 200 G / L 50 ML,ALBUMINA HUMANA,,SOLUCAO,"200,00",50,,
ALBUMINA HUMANA 20 % CX COM 1 AMPOLAS,ALBUMINA HUMANA,,AMPOLA OU FRASCO-AMPOLA,"200,00",,,1
"ALBUMINA HUMANA , 20 , INJETAVEL",ALBUMINA HUMANA,,INJETAVEL,"200,00",,,
ALBUMINA HUMANA 20 % INJETAVEL,ALBUMINA HUMANA,,INJETAVEL,"200,00",,,
ALBUMINA HUMANA 20 %,ALBUMINA HUMANA,,SOLUCAO,"200,00",,,
HIDROCLOROTIAZIDA 25 MG,HIDROCLOROTIAZIDA,,UNIDADE,"25,00",,,
AMINOFILINA 200 MG COMPRIMIDOS,AMINOFILINA,,COMPRIMIDO/CAPSULA,"200,00",,,
AMIODARONA 200 MG COM 30 COMPRIMIDOS,AMIODARONA,,COMPRIMIDO/CAPSULA,"200,00",,,30
AMIODARONA 200 MG COMPRIMIDO,AMIODARONA,,COMPRIMIDO/CAPSULA,"200,00",,,
AMIODARONA 200 MG COMPRIMIDO 1832602940014,AMIODARONA,,COMPRIMIDO/CAPSULA,"200,00",,,
AMIODARONA 200 MG COMPRIMIDOS,AMIODARONA,,COMPRIMIDO/CAPSULA,"200,00",,,
AMIODARONA 200 MG CX 500 COMPRIMIDOS VP,AMIODARONA,,COMPRIMIDO/CAPSULA,"200,00",,,500
AMIODARONA 200 MG CX C 500 COMPRIMIDOS,AMIODARONA,,COMPRIMIDO/CAPSULA,"200,00",,,500
AMIODARONA CLORIDRATO 200 MG COMPRIMIDOS,AMIODARONA,,COMPRIMIDO/CAPSULA,"200,00",,,
AMIODARONA COMPRIMIDOS 200 MG CX COM 500,AMIODARONA,,COMPRIMIDO/CAPSULA,"200,00",,,500
AMIODARONA G 200 MG COMPRIMIDOS,AMIODARONA,,COMPRIMIDO/CAPSULA,"200,00",,,
AMIODORONA 200 MG COMPRIMIDOS,AMIODARONA,,COMPRIMIDO/CAPSULA,"200,00",,,
CLORIDRATO DE AMIODARONA 200 MG COMPR,AMIODARONA,,COMPRIMIDO/CAPSULA,"200,00",,,
CLORIDRATO DE AMIODARONA 200 MG COMPRIMIDO,AMIODARONA,,COMPRIMIDO/CAPSULA,"200,00",,,
HIDROCLOROTIAZIDA 25 MG + AMILORIDA 5 MG COM 30,HIDROCLOROTIAZIDA + AMILORIDA,,UNIDADE,"30,00",,,30
HIDROCLOROTIAZIDA 25 MG 30 N,HIDROCLOROTIAZIDA,,UNIDADE,"25,00",,,30
HIDROCLOROTIAZIDA 25 MG AIRELA,HIDROCLOROTIAZIDA,AIRELA,UNIDADE,"25,00",,,
HIDROCLOROTIAZIDA 25 MG CIMED,HIDROCLOROTIAZIDA,CIMED,UNIDADE,"25,00",,,
HIDROCLOROTIAZIDA 25 MG COM 30,HIDROCLOROTIAZIDA,,UNIDADE,"25,00",,,30
AMIORON 200 MG 20 COMPRIMIDOS,AMIORON,,COMPRIMIDO/CAPSULA,"200,00",,,20
AMIORON 200 MG 20 COMPRIMIDOS AMIODARONA,AMIORON,,COMPRIMIDO/CAPSULA,"200,00",,,20
AMIORON 200 MG COM 20 COMPRIMIDOS,AMIORON,,COMPRIMIDO/CAPSULA,"200,00",,,20
AMIORON 200 MG COM 30 COMPRIMIDOS,AMIORON,,COMPRIMIDO/CAPSULA,"200,00",,,30
AMIORON 200 MG CX 20 COMPRIMIDOS,AMIORON,,COMPRIMIDO/CAPSULA,"200,00",,,20
AMIORON 200 MG CX 30 COMPRIMIDOS,AMIORON,,COMPRIMIDO/CAPSULA,"200,00",,,30
ANCORON 200 MG 30 COMPRIMIDOS,ANCORON,,COMPRIMIDO/CAPSULA,"200,00",,,30
ANCORON 200 MG C 30 COMPRIMIDO,ANCORON,,COMPRIMIDO/CAPSULA,"200,00",,,30
ANCORON 200 MG COM 30 COMPRIMIDOS,ANCORON,,COMPRIMIDO/CAPSULA,"200,00",,,30
ANCORON 200 MG COM 30 COMPRIMIDOS REV,ANCORON,,COMPRIMIDO/CAPSULA,"200,00",,,30
ANCORON 200 MG COMPRIMIDOS REV 1 X 30,ANCORON,,COMPRIMIDO/CAPSULA,"200,00",,,30
ANCORON 200 MG CX 30 COMPRIMIDOS REV,ANCORON,,COMPRIMIDO/CAPSULA,"200,00",,,30
ANESTESICO TOPICO GEL 200 MG / G BENZOCAINA 12 G EMBALAGEM COM 1 UNIDADE,ANESTESICO TOPICO BENZOCAINA,,BISNAGA,"200,00",,,1
ARFLEX 200 MG CX 12 CAP RET,ARFLEX,,COMPRIMIDO/CAPSULA,"200,00",,,12
ARFLEX 200 MG CX 6 CAP RET,ARFLEX,,COMPRIMIDO/CAPSULA,"200,00",,,6
HIDROCLOROTIAZIDA 25 MG COM 30 C,HIDROCLOROTIAZIDA,,UNIDADE,"25,00",,,30
ARFLEX RET 200 MG 6 COMPRIMIDOS,ARFLEX RET,,COMPRIMIDO/CAPSULA,"200,00",,,6
ARFLEX RETARD 200 MG 12 CAPSULAS GELATINOSAS MICROG L P,ARFLEX RETARD,,COMPRIMIDO/CAPSULA,"200,00",,,12
ARFLEX RETARD 200 MG 6 CAPS,ARFLEX RETARD,,COMPRIMIDO/CAPSULA,"200,00",,,6
ARFLEX RETARD 200 MG COM 12 CAP,ARFLEX RETARD,,COMPRIMIDO/CAPSULA,"200,00",,,12
ARFLEX RETARD 200 MG COM 6 CAP,ARFLEX RETARD,,COMPRIMIDO/CAPSULA,"200,00",,,6
ARFLEX RETARD 200 MG CX 6 CAP R,ARFLEX RETARD,,COMPRIMIDO/CAPSULA,"200,00",,,6
ARFLEX RETARD 200 MG 6 COMPRIMIDOS,ARFLEX RETARD,,COMPRIMIDO/CAPSULA,"200,00",,,6
ARFLEX RETARD 200 MG COMPRIMIDOS 1 X 12,ARFLEX RETARD,,COMPRIMIDO/CAPSULA,"200,00",,,12
ARPEJO 200 MG 30 ML,ARPEJO,,SOLUCAO,"200,00",30,,
ATENSINA 200 MG COM 30 COMPRIMIDOS,ATENSINA,,COMPRIMIDO/CAPSULA,"200,00",,,30
ATIP 200 MG COM 30 COMPRIMIDOS REV,ATIP,,COMPRIMIDO/CAPSULA,"200,00",,,30
ATLANSIL 200 MG COM 20 COMPRIMIDOS,ATLANSIL,,COMPRIMIDO/CAPSULA,"200,00",,,20
AZELAN 200 MG / G CRM DERM BG AL X 30 GR,AZELAN,,BISNAGA,"200,00",,,
AZITROMICINA 200 MG / ML COM 15 ML N,AZITROMICINA,,SOLUCAO,"200,00",15,,
AZITROMICINA 900 MG 200 MG / ML,AZITROMICINA,,SOLUCAO,"200,00",,,
AZITROMICINA SUSPENSAO 200 MG / 5 ML,AZITROMICINA,,FRASCO,"200,00",,,
BENZOCAINA TOPICO 20 % 12 G,BENZOCAINA,,BISNAGA,"200,00",,,
HIDROCLOROTIAZIDA 25 MG COM 30 GEN,HIDROCLOROTIAZIDA,,UNIDADE,"25,00",,,30
HIDROCLOROTIAZIDA 25 MG COM 30 LEGRAND,HIDROCLOROTIAZIDA,LEGRAND,UNIDADE,"25,00",,,30
HIDROCLOROTIAZIDA 25 MG COM 500 V P CIMED,HIDROCLOROTIAZIDA,CIMED,UNIDADE,"25,00",,,500
BIOVITA C 200 MG / ML GOTAS 20 ML,BIOVITA VITAMINA C,,GOTAS,"200,00",20,,
BUTACID 200 MG COM 10 COMPRIMIDOS,BUTACID,,COMPRIMIDO/CAPSULA,"200,00",,,10
BUTACID 200 MG ENV 10 CP REV,BUTACID,,COMPRIMIDO/CAPSULA,"200,00",,,10
BUTACID 200 MG ENV COM 10 COMPRIMIDOS,BUTACID,,COMPRIMIDO/CAPSULA,"200,00",,,10
BUTACID 200 MG CX 20 DRG,BUTACID,,COMPRIMIDO/CAPSULA,"200,00",,,20
BUTAZONA 200 MG CX 10 COMPRIMIDOS,BUTAZONA,,COMPRIMIDO/CAPSULA,"200,00",,,10
BUTAZONA CAL 200 MG 10 DRG,BUTAZONA CAL,,COMPRIMIDO/CAPSULA,"200,00",,,10
CANABIDIOL 200 MG / ML,CANABIDIOL,,SOLUCAO,"200,00",,,
CARBAMAZEPINA 200 MG 20 COMPRIMIDOS,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,20
CARBAMAZEPINA 200 MG 30 COMPRIMIDOS,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,30
CARBAMAZEPINA 200 MG 30 COMPRIMIDOS GEN,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,30
CARBAMAZEPINA 200 MG 30 CPDS,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,30
CARBAMAZEPINA 200 MG C 20 COMPRIMIDOS GEN,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,20
CARBAMAZEPINA 200 MG COM 20 COMPGEN,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,20
CARBAMAZEPINA 200 MG COM 20 COMPRIMIDOS,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,20
CARBAMAZEPINA 200 MG COM 20 COMPRIMIDOS 1,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,20
CARBAMAZEPINA 200 MG COM 30 COMPRIMIDOS,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,30
CARBAMAZEPINA 200 MG COM 30 COMPRIMIDOS 1,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,30
CARBAMAZEPINA 200 MG COMPRIMIDOS,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,
CARBAMAZEPINA 200 MG COMPRIMIDOS C 1,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,1
CARBAMAZEPINA 200 MG CX 20 COMPRIMIDOS,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,20
CARBAMAZEPINA 200 MG CX 30 COMPRIMIDOS,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,30
CARBAMAZEPINA 200 MG CX C 500 COMPRIMIDOS BLS C 10 COMPG,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,500
CARBAMAZEPINA 200 MG CX COM 30 COMPRIMIDOS,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,30
CARBAMAZEPINA 200 MG CX COM 30 CPRS GENERICO,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,30
CARBAMAZEPINA 200 MGCPR CX COM 30,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,30
CARBAMAZEPINA COMPRIMIDOS 200 MGCX COM 200,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,200
CARBAMAZEPINA CR 200 MG C 20 COMPTEGRETOL,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,20
CARBAMAZEPINA G 200 MG COM 30 COMPRIMIDOS,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,30
CARBAMAZEPINA 200 MG,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,
CARBAMAZEPINA 200 MG C 1,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,1
CARBAMAZEPINA 200 MG COM 30,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,30
CARBAMAZEPINA 200 MG COM 60,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,60
CARBAMAZEPINA 200 MG CX / 200,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,200
CARBAMAZEPINA 200 MG G 0342 / 22,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,
CARBAMAZEPINA 200 MG G 1921548,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,
CARBAMAZEPINA 200 MG G 1921599,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,
CARBAMAZEPINA 200 MG G 1921650,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,
CARBAMAZEPINA 200 MG G 31223988,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,
CARBAMAZEPINA 200 MG UNIDADE,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,
CARBAMAZEPINA 200 MGCX COM 30 C 1,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,30
CARBAMAZEPINA DE 200 MG,CARBAMAZEPINA,,COMPRIMIDO/CAPSULA,"200,00",,,
CELEBRA 200 MG 10 CAP C 1,CELEBRA,,COMPRIMIDO/CAPSULA,"200,00",,,10
CELEBRA 200 MG 10 CAPPFIZ,CELEBRA,,COMPRIMIDO/CAPSULA,"200,00",,,10
CELEBRA 200 MG 10 CAPS,CELEBRA,,COMPRIMIDO/CAPSULA,"200,00",,,10
CELEBRA 200 MG 15 CAP,CELEBRA,,COMPRIMIDO/CAPSULA,"200,00",,,15
CELEBRA 200 MG 15 CAPS,CELEBRA,,COMPRIMIDO/CAPSULA,"200,00",,,15
CELEBRA 200 MG 30 CAP,CELEBRA,,COMPRIMIDO/CAPSULA,"200,00",,,30
CELEBRA 200 MG 30 CAP DURA,CELEBRA,,COMPRIMIDO/CAPSULA,"200,00",,,30
CELEBRA 200 MG 30 CAPS,CELEBRA,,COMPRIMIDO/CAPSULA,"200,00",,,30
CELEBRA 200 MG CELECOXIBE 15 CAP C 1,CELEBRA,,COMPRIMIDO/CAPSULA,"200,00",,,15
CELEBRA 200 MG COM 10 CAPS,CELEBRA,,COMPRIMIDO/CAPSULA,"200,00",,,10
CELEBRA 200 MG COM 10 CAPSULAS,CELEBRA,,COMPRIMIDO/CAPSULA,"200,00",,,10
CELEBRA 200 MG COM 10 CAPSULAS C 1,CELEBRA,,COMPRIMIDO/CAPSULA,"200,00",,,10
CELEBRA 200 MG CX 30 CAP,CELEBRA,,COMPRIMIDO/CAPSULA,"200,00",,,30
CELEBRA CELECOXIBE 200 MG CX 30 CAP,CELEBRA,,COMPRIMIDO/CAPSULA,"200,00",,,30
CELEBRA 200 MG COM 10 COMPRIMIDOS,CELEBRA,,COMPRIMIDO/CAPSULA,"200,00",,,10
CELEBRA 200 MG,CELEBRA,,,"200,00",,,
CELECOXIBE 200 MG 10 CAP,CELECOXIBE,,COMPRIMIDO/CAPSULA,"200,00",,,10
CELECOXIBE 200 MG 10 CAP DURA,CELECOXIBE,,COMPRIMIDO/CAPSULA,"200,00",,,10
CELECOXIBE 200 MG COM 10 CAP,CELECOXIBE,,COMPRIMIDO/CAPSULA,"200,00",,,10
CELECOXIBE 200 MG COM 30 CAPS,CELECOXIBE,,COMPRIMIDO/CAPSULA,"200,00",,,30
CELECOXIBE 200 MG CX 10 CAP,CELECOXIBE,,COMPRIMIDO/CAPSULA,"200,00",,,10
CELECOXIBE 200 MG CX 30 CAP,CELECOXIBE,,COMPRIMIDO/CAPSULA,"200,00",,,30
CELECOXIBE 200 MG CX COM 10 CAPS,CELECOXIBE,,COMPRIMIDO/CAPSULA,"200,00",,,10
CETACANAZOL 200 MG COMPRIMIDOS,CETACANAZOL,,COMPRIMIDO/CAPSULA,"200,00",,,
CETACONAL 200 MG COM 10 COMPRIMIDOS,CETACONAL,,COMPRIMIDO/CAPSULA,"200,00",,,10
CETOCONAZOL SUSPENSAO ORAL 20 % 20 ML,CETOCONAZOL,,FRASCO,"200,00",20,,
CETOCONAZOL 200 MG C 30 COMPRIMIDOS,CETOCONAZOL,,COMPRIMIDO/CAPSULA,"200,00",,,30
CETOCONAZOL 200 MG COM 10 COMPRIMIDOS,CETOCONAZOL,,COMPRIMIDO/CAPSULA,"200,00",,,10
CETOCONAZOL 200 MG COM 10 CP,CETOCONAZOL,,COMPRIMIDO/CAPSULA,"200,00",,,10
CETOCONAZOL 200 MG COM 500 COMPRIMIDOS,CETOCONAZOL,,COMPRIMIDO/CAPSULA,"200,00",,,500
CETOCONAZOL 200 MG COMPCPS VP,CETOCONAZOL,,COMPRIMIDO/CAPSULA,"200,00",,,
CETOCONAZOL 200 MG COMPIMIDOS,CETOCONAZOL,,COMPRIMIDO/CAPSULA,"200,00",,,
CETOCONAZOL 200 MG COMPRIMIDOS,CETOCONAZOL,,COMPRIMIDO/CAPSULA,"200,00",,,
CETOCONAZOL 200 MG COMPRIMIDOS G VP,CETOCONAZOL,,COMPRIMIDO/CAPSULA,"200,00",,,
CETOCONAZOL 200 MG CPM,CETOCONAZOL,,COMPRIMIDO/CAPSULA,"200,00",,,
CETOCONAZOL 200 MG CX 10 COMPRIMIDOS,CETOCONAZOL,,COMPRIMIDO/CAPSULA,"200,00",,,10
CETOCONAZOL COMPRIMIDOS 200 MG CX COM 450,CETOCONAZOL,,COMPRIMIDO/CAPSULA,"200,00",,,450
HIDROCLOROTIAZIDA 25 MG COM 500 V P X CIM,HIDROCLOROTIAZIDA,,UNIDADE,"25,00",,,500
HIDROCLOROTIAZIDA 25 MG CX / 500 MED QUIMICA,HIDROCLOROTIAZIDA,MEDQUIMICA,UNIDADE,"25,00",,,500
CETOMED CETOCONAZOL 200 MG COMPRIMIDOS,CETOMED,,COMPRIMIDO/CAPSULA,"200,00",,,
CETOMICOSS 200 MG 10 COMPRIMIDOS,CETOMICOSS,,COMPRIMIDO/CAPSULA,"200,00",,,10
CETOMICOSS 200 MG COM 10 CP,CETOMICOSS,,COMPRIMIDO/CAPSULA,"200,00",,,10
CETOMICOSS 200 MG CX 10 COMPRIMIDOS,CETOMICOSS,,COMPRIMIDO/CAPSULA,"200,00",,,10
CETOPROFENO 200 MG COMPRIMIDOS,CETOPROFENO,,COMPRIMIDO/CAPSULA,"200,00",,,
CEWIN 200 MG / ML SOL OR FR 20 ML,CEWIN,,FRASCO,"200,00",20,,
CEWIN 200 MG / ML SOL ORAL X 20 ML,CEWIN,,SOLUCAO,"200,00",20,,
CIMETIDINA 200 MG CPS VP / GEN CIMETIDINA,CIMETIDINA,,COMPRIMIDO/CAPSULA,"200,00",,,
CIMETIDINA 200 MG C 600 COMPRIMIDOS GENERICO HOSP,CIMETIDINA,,COMPRIMIDO/CAPSULA,"200,00",,,600
CIMETIDINA 200 MG COM 10 CP,CIMETIDINA,,COMPRIMIDO/CAPSULA,"200,00",,,10
CIMETIDINA 200 MG COM 20 COMPRIMIDOS,CIMETIDINA,,COMPRIMIDO/CAPSULA,"200,00",,,20
CIMETIDINA 200 MG COM 20 COMPRIMIDOS GEN,CIMETIDINA,,COMPRIMIDO/CAPSULA,"200,00",,,20
CIMETIDINA 200 MG COMPRIMIDOS,CIMETIDINA,,COMPRIMIDO/CAPSULA,"200,00",,,
HIDROCLOROTIAZIDA 25 MG CX 30 C,HIDROCLOROTIAZIDA,,UNIDADE,"25,00",,,30
HIDROCLOROTIAZIDA 25 MG CX C 500 CRISTALIA,HIDROCLOROTIAZIDA,CRISTALIA,UNIDADE,"25,00",,,500
HIDROCLOROTIAZIDA 25 MG CX C 500 PHARLAB,HIDROCLOROTIAZIDA,PHARLAB,UNIDADE,"25,00",,,500
HIDROCLOROTIAZIDA 25 MG CX COM 30,HIDROCLOROTIAZIDA,,UNIDADE,"25,00",,,30
HIDROCLOROTIAZIDA 25 MG GEOLAB,HIDROCLOROTIAZIDA,GEOLAB,UNIDADE,"25,00",,,
HIDROCLOROTIAZIDA 25 MG M QUIMICA,HIDROCLOROTIAZIDA,MEDQUIMICA,UNIDADE,"25,00",,,
HIDROCLOROTIAZIDA 25 MG MEDQUIMICA,HIDROCLOROTIAZIDA,MEDQUIMICA,UNIDADE,"25,00",,,
CIPROFLOXACINA 200 MG BOLSA 100 ML,CIPROFLOXACINA,,SOLUCAO,"200,00",100,,
CISTEIL 200 MG GRAN 16 ENV 5 G,CISTEIL,,PO,"200,00",,,16
CISTEIL 200 MG 16 ENV,CISTEIL,,ENVELOPE,"200,00",,,16
CISTEIL 200 MG CX 16 ENV 5 G,CISTEIL,,ENVELOPE,"200,00",,,16
HIDROCLOROTIAZIDA 25 MG MEDQUIMICAL : 001744 F : 06 / 20,HIDROCLOROTIAZIDA,MEDQUIMICA,UNIDADE,"25,00",,,
CITONEURIN 100 + 100 MG / ML SOL IN,CITONEURIN,,SOLUCAO,"200,00",,,
CLOPIXOL 200 MG 1 AMPOLAS,CLOPIXOL,,AMPOLA OU FRASCO-AMPOLA,"200,00",,,1
CLOPIXOL DEPOT 200 MG / ML IM 1 AMPOLAS 1 ML C 1,CLOPIXOL DEPOT,,AMPOLA OU FRASCO-AMPOLA,"200,00",1,,1
CLORETO DE SODIO 20 % 10 ML,CLORETO DE SODIO,,AMPOLA OU FRASCO-AMPOLA,"200,00",10,,
CLORETO DE SODIO 20 % 10 ML AMP,CLORETO DE SODIO,,AMPOLA OU FRASCO-AMPOLA,"200,00",10,,
